number,state,value,datetime_start,datetime_complete,duration_s,params_data.batch_size,params_model.dim,params_model.heads,params_model.masking.block_scale,params_model.masking.disk_scale,params_model.masking.level_allocation,params_model.masking.spatial_pattern,params_model.masking_ratio,params_model.num_layers,params_optim.gradient_clip_val,params_optim.lr,params_optim.warmup_epochs,user_attrs_device_hours,user_attrs_dstream/delta_r2,user_attrs_dstream/delta_r2@0.5,user_attrs_dstream/delta_r2@0.75,user_attrs_dstream/n_rows,user_attrs_dstream/r2,user_attrs_dstream/r2_baseline,user_attrs_dstream/self_check_ratio,user_attrs_epochs_completed,user_attrs_global_step,user_attrs_params_total,user_attrs_params_trainable,user_attrs_samples_per_sec,user_attrs_samples_seen,user_attrs_sec_per_epoch,user_attrs_steps_per_sec,user_attrs_sys/dataloader_wait_s,user_attrs_sys/samples_per_sec_step,user_attrs_torch_mem_peak_alloc_gb,user_attrs_torch_mem_peak_reserved_gb,user_attrs_train/batch_size,user_attrs_train/grad_clip_frac,user_attrs_train/grad_clip_frac_epoch,user_attrs_train/grad_clip_frac_step,user_attrs_train/grad_norm,user_attrs_train/grad_norm_decoder,user_attrs_train/grad_norm_encoder,user_attrs_train/input_mean,user_attrs_train/learning_rate,user_attrs_train/loss,user_attrs_train/loss_epoch,user_attrs_train/loss_step,user_attrs_train/weight_norm,user_attrs_trial_dir,user_attrs_val/loss,user_attrs_val/loss_level_1,user_attrs_val/loss_level_16,user_attrs_val/loss_level_8,user_attrs_val/target_var_level_1,user_attrs_val/target_var_level_16,user_attrs_val/target_var_level_8,user_attrs_wall_time_h,user_attrs_wall_time_s,user_attrs_world_size
10,COMPLETE,0.019005549023697665,2026-09-13 20:27:06.637644,2026-09-13 20:59:58.893181,1972.255537,16,384,4,2.483291633359742,0.8996331308759679,uniform,anisotropic_block,0.8428412201255853,10,0.8103513956063396,3.638211850540796e-05,2,0.5467,0.019005549023697665,-0.09979042802403698,0.1378015260714323,768.0,0.662265395380499,0.6432598463568012,1.0320175286428541,30.0,18750.0,14030682.0,14030682.0,152.42,300000.0,65.61,9.5262,0.0013518109917640686,217.28546142578125,4.434,4.861,16.0,0.0,0.0,0.0,0.013113156892359257,0.008226913399994373,0.009808079339563847,0.5349574685096741,1.1438156377607811e-07,0.006493966095149517,0.006493966095149517,0.006652835290879011,157.683349609375,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0010,0.005991174373775721,0.014988989569246769,0.0010121682425960898,0.001972359837964177,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.5467,1968.3,1.0
11,COMPLETE,0.16785758578390808,2026-09-13 20:29:42.182508,2026-09-13 21:18:44.155829,2941.973321,32,256,2,1.6792643988196005,0.8205956731888789,redundancy,iid,0.7433053971954601,11,0.43331597468923166,0.00020644241247017082,5,0.8095,0.16785758578390808,0.15034191296489136,0.18537325860292478,768.0,0.8111174321407093,0.6432598463568012,1.0602839075215322,30.0,9360.0,7752980.0,7752980.0,102.784,299520.0,97.14,3.212,0.002472765976563096,294.5329284667969,9.533,10.521,32.0,0.0,0.0,0.0,0.006289381999522448,0.0026457151398062706,0.005454969592392445,0.5419158935546875,8.139300575749076e-07,0.004382184706628323,0.004382184706628323,0.003893813118338585,139.7375946044922,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0011,0.004287241492420435,0.010593357495963573,0.0007896240567788482,0.0014787422260269523,0.029257824644446373,0.011561979539692402,0.01286841556429863,0.8095,2914.1,1.0
12,COMPLETE,-0.13042881180037708,2026-09-13 20:31:02.577106,2026-09-13 21:23:07.387777,3124.810671,16,768,2,1.3886463946166585,0.910499377052574,dirichlet,isotropic_disk,0.7989734144015148,8,0.930474652551103,0.000550764797186746,1,0.8664,-0.13042881180037708,-0.17248090280148407,-0.0883767207992701,768.0,0.5128310345564242,0.6432598463568012,1.0057895658446323,30.0,18750.0,40724820.0,40724820.0,96.18,300000.0,103.97,6.0112,0.0013442429481074214,152.61111450195312,7.431,7.863,16.0,0.0,0.0,0.0,0.005820837337523699,0.003632850479334593,8.265984092759027e-07,0.5349574685096741,1.6143034144988633e-06,0.012810367159545422,0.012810367159545422,0.010095242410898209,188.12181091308594,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0012,0.009265102446079254,0.02072429098188877,0.0028484950307756662,0.0042225210927426815,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.8664,3119.2,1.0
13,COMPLETE,0.16282193837651524,2026-09-13 20:35:27.221919,2026-09-13 21:01:14.134676,1546.912757,16,384,4,1.4395348477291596,0.8548133750600728,uniform,iid,0.7220201306295501,6,0.14111106872086004,5.1671201740414576e-05,10,0.4288,0.16282193837651524,0.1359716836373404,0.18967219311569009,768.0,0.8060817847333165,0.6432598463568012,1.0312484082510347,30.0,18750.0,9301146.0,9301146.0,194.329,300000.0,51.46,12.1456,0.0013335379771888256,301.9540100097656,4.446,4.863,16.0,0.0,0.0,0.0,0.010767368599772453,0.0065374188125133514,0.008346004411578178,0.5349574685096741,3.1807911682335543e-07,0.0041011325083673,0.0041011325083673,0.004320007748901844,134.8355712890625,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0013,0.003933385014533997,0.009512914344668388,0.0007464921800419688,0.0015407444443553686,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.4288,1543.8,1.0
14,COMPLETE,0.13551545106568827,2026-09-13 20:36:17.467366,2026-09-13 21:33:24.313451,3426.846085,8,384,8,1.609779874564373,0.8437880497398338,dirichlet,iid,0.8334817984515277,13,0.36261349680288935,3.4551838134787025e-05,5,0.9503,0.13551545106568827,0.09176065143103979,0.17927025070033675,768.0,0.7787752974224896,0.6432598463568012,0.9952404306359126,30.0,37500.0,17577477.0,17577477.0,87.689,300000.0,114.04,10.9611,0.0010253649670630693,173.3359375,2.658,2.854,8.0,0.0007999999797903001,0.0007999999797903001,0.0,0.011573986150324345,0.005461622960865498,0.010009334422647953,0.5378206372261047,1.3622577910155087e-07,0.0055441358126699924,0.0055441358126699924,0.005105269141495228,172.92115783691406,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0014,0.005168247036635876,0.012840544804930687,0.0009180006454698741,0.0017461945535615087,0.029001304879784584,0.011413735337555408,0.012696273624897003,0.9503,3421.2,1.0
15,COMPLETE,0.16270214132304536,2026-09-13 20:59:58.901377,2026-09-13 21:37:07.249484,2228.348107,16,768,8,1.0749301884191307,0.8571792811831023,redundancy,anisotropic_disk,0.7775999929336422,6,0.5634002008524778,0.00021261274296063886,10,0.6124,0.16270214132304536,0.12505365909300592,0.20035062355308483,768.0,0.8059619876798466,0.6432598463568012,1.0575708708543266,30.0,18750.0,31275501.0,31275501.0,136.075,300000.0,73.49,8.5047,0.001309302169829607,172.02734375,6.108,6.59,16.0,0.0,0.0,0.0,0.005599278025329113,0.0032344774808734655,0.004423652775585651,0.5349574685096741,1.3088077821521438e-06,0.003580567194148898,0.003580567194148898,0.003879732917994261,184.91343688964844,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0015,0.003522514831274748,0.008442572318017483,0.0007273798109963536,0.0013975916663184762,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.6124,2204.7,1.0
16,COMPLETE,0.13342969867123525,2026-09-13 21:01:14.143367,2026-09-13 21:42:12.620458,2458.477091,8,512,8,2.4593660348122373,0.7725552430476142,uniform,isotropic_disk,0.7790564310499359,8,0.13761793883377907,4.231721294207225e-05,8,0.6817,0.13342969867123525,0.06400187459207769,0.2028575227503928,768.0,0.7766895450280366,0.6432598463568012,1.0303688518213503,30.0,37500.0,19254477.0,19254477.0,122.239,300000.0,81.81,15.2799,0.0010190190514549613,168.8584442138672,2.86,3.021,8.0,0.0,0.0,0.0,0.011950508691370487,0.006559987086802721,0.009848373010754585,0.5378206372261047,2.1536411054512428e-07,0.003569051856175065,0.003569051856175065,0.004135044291615486,165.7708282470703,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0016,0.003426829120144248,0.00812613032758236,0.0006707982392981648,0.0014835594920441508,0.029001304879784584,0.011413735337555408,0.012696273624897003,0.6817,2454.2,1.0
17,COMPLETE,0.14759280076461004,2026-09-13 21:18:44.165750,2026-09-13 22:10:48.198381,3124.032631,16,256,4,2.054411287036102,0.7509618810503849,dirichlet,isotropic_disk,0.8040268506701757,16,0.9882861821430652,0.0001227895387096647,1,0.866,0.14759280076461004,0.12581622129229747,0.16936938023692263,768.0,0.7908526471214113,0.6432598463568012,1.00285263596325,30.0,18750.0,10383098.0,10383098.0,96.224,300000.0,103.92,6.014,0.0014254410052672029,227.13461303710938,4.753,5.303,16.0,0.0,0.0,0.0,0.005789340939372778,0.0032210920471698046,0.004494488704949617,0.5349574685096741,3.5989876323583303e-07,0.006747168954461813,0.006747168954461813,0.007589627057313919,158.63491821289062,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0017,0.0056912340223789215,0.013430139049887657,0.0014438031939789653,0.0021997594740241766,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.866,3117.7,1.0
18,COMPLETE,0.13738641482241817,2026-09-13 21:23:07.398006,2026-09-13 22:16:03.815815,3176.417809,32,256,8,2.0719109367844273,0.7631505751934509,dirichlet,iid,0.7870049822260018,16,0.6873338048776394,0.00020010214586313571,4,0.8808,0.13738641482241817,0.1085143036163893,0.16625852602844704,768.0,0.7806462611792194,0.6432598463568012,1.0229309688787207,30.0,9360.0,10382797.0,10382797.0,94.457,299520.0,105.7,2.9518,0.002506016055122018,275.18463134765625,9.224,9.99,32.0,0.0,0.0,0.0,0.037625398486852646,0.0034368536435067654,0.03730226680636406,0.5419158935546875,7.294849524441815e-07,0.00556372432038188,0.00556372432038188,0.005394745618104935,158.56080627441406,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0018,0.005202234257012606,0.012837782502174377,0.0009203229565173388,0.001848595216870308,0.029257824644446373,0.011561979539692402,0.01286841556429863,0.8808,3171.0,1.0
19,COMPLETE,0.1310053111769091,2026-09-13 21:26:29.953044,2026-09-13 22:19:23.303037,3173.349993,32,256,8,2.0825141042748454,0.7576522678381116,dirichlet,isotropic_disk,0.7825173902568393,15,0.6887500678284617,0.0002493382972690407,3,0.8799,0.1310053111769091,0.11163126689647034,0.1503793554573479,768.0,0.7742651575337104,0.6432598463568012,0.9767728044209069,30.0,9360.0,9856701.0,9856701.0,94.555,299520.0,105.59,2.9549,0.002530195051804185,272.8751220703125,9.04,9.838,32.0,0.0,0.0,0.0,0.04740718752145767,0.005423960275948048,0.04683557152748108,0.5419158935546875,8.429681770394382e-07,0.006922208238393068,0.006922208238393068,0.004813752137124538,155.6481170654297,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0019,0.0057345484383404255,0.013444965705275536,0.0014776590978726745,0.002281022956594825,0.029257824644446373,0.011561979539692402,0.01286841556429863,0.8799,3167.7,1.0
